year; sea;     startdec; enddec
1997; bering;  02/07;    03/09
1997; okhotsk; 01/07;    01/10
1997; japan;   01/06;    02/10
1998; bering;  03/07;    02/09
1998; okhotsk; 02/07;    01/10
1998; japan;   01/06;    02/10
1999; bering;  02/07;    03/09
1999; okhotsk; 01/08;    02/10
1999; japan;   01/06;    02/10
2000; bering;  03/07;    03/09
2000; okhotsk; 02/07;    03/09
2000; japan;   03/05;    02/10
2001; bering;  03/07;    03/09
2001; okhotsk; 01/07;    03/09
2001; japan;   02/06;    01/10
2002; bering;  02/07;    03/09
2002; okhotsk; 01/07;    03/09
2002; japan;   01/06;    02/10
2003; bering;  01/08;    03/09
2003; okhotsk; 03/07;    02/10
2003; japan;   01/06;    02/10
2004; bering;  02/07;    03/09
2004; okhotsk; 02/07;    03/09
2004; japan;   01/06;    03/10
2005; bering;  01/08;    03/09
2005; okhotsk; 02/07;    01/10
2005; japan;   01/06;    01/11
2006; bering;  01/08;    01/10
2006; okhotsk; 03/07;    02/10
2006; japan;   02/06;    02/10
2007; bering;  02/07;    03/09
2007; okhotsk; 02/07;    01/10
2007; japan;   01/06;    02/10
2008; bering;  03/07;    03/09
2008; okhotsk; 03/07;    01/10
2008; japan;   02/06;    02/10
2009; bering;  02/07;    03/09
2009; okhotsk; 01/08;    01/10
2009; japan;   01/06;    02/10
2010; bering;  02/07;    03/09
2010; okhotsk; 02/07;    02/10
2010; japan;   01/06;    01/11
2011; bering;  03/07;    00/00
2011; okhotsk; 02/06;    00/00
2011; japan;   02/06;    00/00